Annotation	Positive	Total	Percent	Solo_Chi	Solo_P	Solo_Diff	Solo_Sig	StatGroup	Test	Dataset
intergenic	39291066	1464088148	2.683654399748614	4412558.226417675	0	-1.2851048451078455	BF_Sig	c	Assembly	Combined
CDS	3266450	35657877	9.160528541842242	3482396.4232850056	0	5.745963249576624	BF_Sig	a	Assembly	Combined
threePrimeUTR	2841301	43969394	6.461997179219709	1190141.2692051611	0	3.028378001945357	BF_Sig	i	Assembly	Combined
intronic	46913468	1209210705	3.8796768673992186	897245.6286758938	0	0.6050157336345597	BF_Sig	d	Assembly	Combined
lncRNA	36855634	938535958	3.9269282850428624	782941.9000827228	0	0.6100142340092735	BF_Sig	e	Assembly	Combined
pseudogene	829961	57630629	1.4401387151266387	719420.1901256323	0	-2.0603901527317796	BF_Sig	g	Assembly	Combined
fivePrimeUTR	405721	10383155	3.9074924721821067	5978.562397368756	0	0.4397167981032408	BF_Sig	b	Assembly	Combined
ncGenes	168895	4262509	3.9623376748295427	3101.529451436552	0	0.493908473822826	BF_Sig	f	Assembly	Combined
smRNA	25866	1000691	2.584813893599523	2336.536906146857	0	-0.8844096015112389	BF_Sig	h	Assembly	Combined
CDS	80624	3266450	2.468245342803349	483318.5950239414	0	2.20262614751474	BF_Sig	a	SISRS	Combined
threePrimeUTR	26921	2841301	0.9474884920675423	35690.81141043257	0	0.64071797235435	BF_Sig	g	SISRS	Combined
intronic	96267	46913468	0.20520120149719054	30555.742884341194	0	-0.18026263143781923	BF_Sig	c	SISRS	Combined
intergenic	80436	39291066	0.20471829397553123	23651.186537625617	0	-0.16590488163575834	BF_Sig	c	SISRS	Combined
fivePrimeUTR	4404	405721	1.0854749938997488	7443.503160362642	0	0.7671482460768821	BF_Sig	b	SISRS	Combined
lncRNA	127960	36855634	0.34719250793515044	1126.3166208329515	6.297648644701807e-247	0.03689430539084216	BF_Sig	d	SISRS	Combined
pseudogene	1328	829961	0.16000751842556457	674.2617040415546	1.1825387199336575e-148	-0.16173028275147236	BF_Sig	f	SISRS	Combined
ncGenes	763	168895	0.4517599692116404	90.44215275824959	1.904648284294299e-21	0.13121967289961145	BF_Sig	e	SISRS	Combined
smRNA	139	25866	0.537384984149076	37.31914201930978	1.0029532507370867e-9	0.2167179119656661	BF_Sig	e	SISRS	Combined
CDS	45606	80624	56.56628299265727	5027.384960566764	0	-13.056268143000793	BF_Sig	a	Concordance	Combined
intergenic	58153	80436	72.29723009597693	1213.6359740728315	6.63491616536402e-266	6.4210340474435075	BF_Sig	c	Concordance	Combined
intronic	68875	96267	71.54580489679745	1114.341752778019	2.522347425257525e-244	5.7604836536756965	BF_Sig	d	Concordance	Combined
threePrimeUTR	17423	26921	64.71899260800119	74.3575735192194	6.5174747952245165e-18	-2.5545140425737967	BF_Sig	b	Concordance	Combined
lncRNA	86601	127960	67.67818068146295	26.975747201013238	2.0602436724062626e-7	0.8191106805691128	BF_Sig	e	Concordance	Combined
fivePrimeUTR	2843	4404	64.55495004541326	13.04004757412718	3.0490035107911786e-4	-2.5815094491311585	BF_Sig	b	Concordance	Combined
ncGenes	552	763	72.34600262123197	9.260533162705723	0.002341448479565626	5.2462439631793085	BF_Sig	cde	Concordance	Combined
smRNA	105	139	75.53956834532374	4.1030656670872565	0.04280553061607592	8.433051315352614	Not_Sig	bcde	Concordance	Combined
pseudogene	924	1328	69.57831325301204	3.567922529884408	0.05890596313233544	2.4768507870827627	Not_Sig	cde	Concordance	Combined
