Split	Taxa_A	Taxa_B	Node	Median_Node_Age
1	ApoSyl,ApoUra,BalMys,BisBis,BosTau,BubBub,CapAeg,CapHir,ColAng,ElaDav,EllLut,GirTip,GorGor,HipAmp,HomSap,HylMol,MacMul,MacNem,MasCou,MerUng,MusCar,MusMus,MusSpr,OdoVir,OkaJoh,OviAri,PanPan,PanTro,PapAnu,PapCyn,PerLeu,PsaObe,RatNit,RatNor	AotNan,CalJac	38	21.675043743573852
2	ColAng,GorGor,HomSap,HylMol,MacMul,MacNem,PanPan,PanTro,PapAnu,PapCyn	AotNan,ApoSyl,ApoUra,BalMys,BisBis,BosTau,BubBub,CalJac,CapAeg,CapHir,ElaDav,EllLut,GirTip,HipAmp,MasCou,MerUng,MusCar,MusMus,MusSpr,OdoVir,OkaJoh,OviAri,PerLeu,PsaObe,RatNit,RatNor	40	28.891476657250898
3	ColAng,MacMul,MacNem,PapAnu,PapCyn	AotNan,ApoSyl,ApoUra,BalMys,BisBis,BosTau,BubBub,CalJac,CapAeg,CapHir,ElaDav,EllLut,GirTip,GorGor,HipAmp,HomSap,HylMol,MasCou,MerUng,MusCar,MusMus,MusSpr,OdoVir,OkaJoh,OviAri,PanPan,PanTro,PerLeu,PsaObe,RatNit,RatNor	41	14.4781330616091
4	MacMul,MacNem,PapAnu,PapCyn	AotNan,ApoSyl,ApoUra,BalMys,BisBis,BosTau,BubBub,CalJac,CapAeg,CapHir,ColAng,ElaDav,EllLut,GirTip,GorGor,HipAmp,HomSap,HylMol,MasCou,MerUng,MusCar,MusMus,MusSpr,OdoVir,OkaJoh,OviAri,PanPan,PanTro,PerLeu,PsaObe,RatNit,RatNor	42	9.581128950397733
5	MacMul,MacNem	AotNan,ApoSyl,ApoUra,BalMys,BisBis,BosTau,BubBub,CalJac,CapAeg,CapHir,ColAng,ElaDav,EllLut,GirTip,GorGor,HipAmp,HomSap,HylMol,MasCou,MerUng,MusCar,MusMus,MusSpr,OdoVir,OkaJoh,OviAri,PanPan,PanTro,PapAnu,PapCyn,PerLeu,PsaObe,RatNit,RatNor	43	4.845744041685663
6	PapAnu,PapCyn	AotNan,ApoSyl,ApoUra,BalMys,BisBis,BosTau,BubBub,CalJac,CapAeg,CapHir,ColAng,ElaDav,EllLut,GirTip,GorGor,HipAmp,HomSap,HylMol,MacMul,MacNem,MasCou,MerUng,MusCar,MusMus,MusSpr,OdoVir,OkaJoh,OviAri,PanPan,PanTro,PerLeu,PsaObe,RatNit,RatNor	44	4.8284782610032835
7	GorGor,HomSap,HylMol,PanPan,PanTro	AotNan,ApoSyl,ApoUra,BalMys,BisBis,BosTau,BubBub,CalJac,CapAeg,CapHir,ColAng,ElaDav,EllLut,GirTip,HipAmp,MacMul,MacNem,MasCou,MerUng,MusCar,MusMus,MusSpr,OdoVir,OkaJoh,OviAri,PapAnu,PapCyn,PerLeu,PsaObe,RatNit,RatNor	45	14.553342770865385
8	GorGor,HomSap,PanPan,PanTro	AotNan,ApoSyl,ApoUra,BalMys,BisBis,BosTau,BubBub,CalJac,CapAeg,CapHir,ColAng,ElaDav,EllLut,GirTip,HipAmp,HylMol,MacMul,MacNem,MasCou,MerUng,MusCar,MusMus,MusSpr,OdoVir,OkaJoh,OviAri,PapAnu,PapCyn,PerLeu,PsaObe,RatNit,RatNor	46	9.497100484814176
9	HomSap,PanPan,PanTro	AotNan,ApoSyl,ApoUra,BalMys,BisBis,BosTau,BubBub,CalJac,CapAeg,CapHir,ColAng,ElaDav,EllLut,GirTip,GorGor,HipAmp,HylMol,MacMul,MacNem,MasCou,MerUng,MusCar,MusMus,MusSpr,OdoVir,OkaJoh,OviAri,PapAnu,PapCyn,PerLeu,PsaObe,RatNit,RatNor	47	4.9346445935717185
10	PanPan,PanTro	AotNan,ApoSyl,ApoUra,BalMys,BisBis,BosTau,BubBub,CalJac,CapAeg,CapHir,ColAng,ElaDav,EllLut,GirTip,GorGor,HipAmp,HomSap,HylMol,MacMul,MacNem,MasCou,MerUng,MusCar,MusMus,MusSpr,OdoVir,OkaJoh,OviAri,PapAnu,PapCyn,PerLeu,PsaObe,RatNit,RatNor	48	2.49982502817884
