Taxon,Dataset,Basecount,ToSample
AotNan,AotNan_SRR1692993_Trim,31395771931,486111111.0
AotNan,AotNan_SRR1692996_Trim,32589747156,486111111.0
ApoSyl,ApoSyl_SRR2141384_Trim,21822276457,324074074.0
ApoSyl,ApoSyl_SRR2141382_Trim,16972272362,324074074.0
ApoSyl,ApoSyl_SRR2141383_Trim,21173738198,324074074.0
ApoUra,ApoUra_ERR1101669_Trim,77392289175,972222222.0
BalMys,BalMys_SRR1685384_Trim,106872868861,972222222.0
BisBis,BisBis_SRR3509078_Trim,41227515066,486111111.0
BisBis,BisBis_SRR3509077_Trim,23753953729,486111111.0
BosTau,BosTau_ERR1747046_Trim,28619736405,486111111.0
BosTau,BosTau_ERR1747047_Trim,34103125669,486111111.0
BubBub,BubBub_SRR4477896_Trim,33416780352,324074074.0
BubBub,BubBub_SRR4477891_Trim,23326832051,324074074.0
BubBub,BubBub_SRR4477899_Trim,32631628379,324074074.0
CalJac,CalJac_SRR1272478_Trim,11670448673,324074074.0
CalJac,CalJac_SRR1282349_Trim,11844922791,324074074.0
CalJac,CalJac_SRR1272418_Trim,13556429230,324074074.0
CapAeg,CapAeg_ERR470100_Trim,38392615220,324074074.0
CapAeg,CapAeg_ERR470104_Trim,37652603914,324074074.0
CapAeg,CapAeg_ERR470106_Trim,37955847828,324074074.0
CapHir,CapHir_ERR234319_Trim,38191303923,324074074.0
CapHir,CapHir_ERR315506_Trim,38305036865,324074074.0
CapHir,CapHir_ERR248918_Trim,38019761596,324074074.0
ColAng,ColAng_SRR1687491_Trim,18203160488,324074074.0
ColAng,ColAng_SRR1687501_Trim,16083420258,324074074.0
ColAng,ColAng_SRR1687495_Trim,28078250803,324074074.0
ElaDav,ElaDav_SRR5762668_Trim,13788223894,243055555.5
ElaDav,ElaDav_SRR5762664_Trim,13440331175,243055555.5
ElaDav,ElaDav_SRR5762663_Trim,13363583138,243055555.5
ElaDav,ElaDav_SRR5762662_Trim,13585863549,243055555.5
EllLut,EllLut_SRR3497434_Trim,31638762866,486111111.0
EllLut,EllLut_SRR3492263_Trim,24371508847,486111111.0
GirTip,GirTip_SRR3218457_Trim,26258258214,486111111.0
GirTip,GirTip_SRR3218458_Trim,27072807137,486111111.0
GorGor,GorGor_SRR748178_Trim,23771537269,486111111.0
GorGor,GorGor_SRR748174_Trim,23918247505,486111111.0
HipAmp,HipAmp_SRR5663649_Trim,38157820169,486111111.0
HipAmp,HipAmp_SRR5663646_Trim,51207958793,486111111.0
HomSap,HomSap_ERR229779_Trim,14576558922,243055555.5
HomSap,HomSap_ERR229778_Trim,15233848134,243055555.5
HomSap,HomSap_ERR229780_Trim,14605735134,243055555.5
HomSap,HomSap_ERR229784_Trim,15462105827,243055555.5
HylMol,HylMol_SRR1390939_Trim,30105416418,486111111.0
HylMol,HylMol_SRR1390938_Trim,30851959672,486111111.0
MacMul,MacMul_SRR1952179_Trim,17160431745,324074074.0
MacMul,MacMul_SRR1952169_Trim,18626188512,324074074.0
MacMul,MacMul_SRR1952184_Trim,16064843178,324074074.0
MacNem,MacNem_SRR1698404_Trim,31253753310,324074074.0
MacNem,MacNem_SRR1698391_Trim,26861812830,324074074.0
MacNem,MacNem_SRR1698406_Trim,30111261161,324074074.0
MasCou,MasCou_SRR6031631_Trim,19855401474,324074074.0
MasCou,MasCou_SRR6031622_Trim,19731158469,324074074.0
MasCou,MasCou_SRR6031623_Trim,86545015865,324074074.0
MerUng,MerUng_SRR7041746_Trim,31942082133,324074074.0
MerUng,MerUng_SRR7041744_Trim,26955348226,324074074.0
MerUng,MerUng_SRR7041747_Trim,31689407001,324074074.0
MusCar,MusCar_ERR133992_Trim,25258558842,243055555.5
MusCar,MusCar_ERR133991_Trim,23117699432,243055555.5
MusCar,MusCar_ERR133993_Trim,24122259093,243055555.5
MusCar,MusCar_ERR133990_Trim,17325257023,243055555.5
MusMus,MusMus_ERR1124330_Trim,64083316157,486111111.0
MusMus,MusMus_ERR1124338_Trim,65455180535,486111111.0
MusSpr,MusSpr_ERR1124347_Trim,68286774403,486111111.0
MusSpr,MusSpr_ERR1124346_Trim,64808688419,486111111.0
OdoVir,OdoVir_SRR4069809_Trim,31365334317,486111111.0
OdoVir,OdoVir_SRR4069807_Trim,33282333483,486111111.0
OkaJoh,OkaJoh_SRR3217625_Trim,29962308361,486111111.0
OkaJoh,OkaJoh_SRR3217884_Trim,23376190152,486111111.0
OviAri,OviAri_ERR2099815_Trim,31543528541,486111111.0
OviAri,OviAri_ERR2099817_Trim,32506518550,486111111.0
PanPan,PanPan_SRR740816_Trim,14521570579,324074074.0
PanPan,PanPan_SRR747643_Trim,13514164390,324074074.0
PanPan,PanPan_SRR740824_Trim,14863170081,324074074.0
PanTro,PanTro_SRR748065_Trim,15780390054,324074074.0
PanTro,PanTro_SRR748064_Trim,16243241071,324074074.0
PanTro,PanTro_SRR748063_Trim,16783668060,324074074.0
PapAnu,PapAnu_SRR1700533_Trim,14039098435,324074074.0
PapAnu,PapAnu_SRR1700532_Trim,14548732140,324074074.0
PapAnu,PapAnu_SRR1516196_Trim,12944290961,324074074.0
PapCyn,PapCyn_SRR1699449_Trim,14017796498,324074074.0
PapCyn,PapCyn_SRR1513473_Trim,11781575624,324074074.0
PapCyn,PapCyn_SRR1699450_Trim,14509604580,324074074.0
PerLeu,PerLeu_SRR545960_Trim,15040313906,324074074.0
PerLeu,PerLeu_SRR545959_Trim,13088729138,324074074.0
PerLeu,PerLeu_SRR545958_Trim,14399343391,324074074.0
PsaObe,PsaObe_SRR5067752_Trim,20831577817,324074074.0
PsaObe,PsaObe_SRR5067751_Trim,30892217286,324074074.0
PsaObe,PsaObe_SRR5067753_Trim,15342913170,324074074.0
RatNit,RatNit_SRR3948152_Trim,12682970157,324074074.0
RatNit,RatNit_SRR3948149_Trim,12415200039,324074074.0
RatNit,RatNit_SRR3948154_Trim,13932129811,324074074.0
RatNor,RatNor_SRR1509317_Trim,29049911422,486111111.0
RatNor,RatNor_SRR1509316_Trim,22806684371,486111111.0
