Taxon,Dataset,Basecount,ToSample
BalMys,BalMys_SRR1685384_Trim,106872868861,2916666666.0
BisBis,BisBis_SRR3509077_Trim,23753953729,1458333333.0
BisBis,BisBis_SRR3509078_Trim,41227515066,1458333333.0
BosTau,BosTau_ERR1747047_Trim,34103125669,1458333333.0
BosTau,BosTau_ERR1747046_Trim,28619736405,1458333333.0
BubBub,BubBub_SRR4477896_Trim,33416780352,972222222.0
BubBub,BubBub_SRR4477899_Trim,32631628379,972222222.0
BubBub,BubBub_SRR4477891_Trim,23326832051,972222222.0
CapAeg,CapAeg_ERR470104_Trim,37652603914,972222222.0
CapAeg,CapAeg_ERR470100_Trim,38392615220,972222222.0
CapAeg,CapAeg_ERR470106_Trim,37955847828,972222222.0
CapHir,CapHir_ERR315506_Trim,38305036865,972222222.0
CapHir,CapHir_ERR234319_Trim,38191303923,972222222.0
CapHir,CapHir_ERR248918_Trim,38019761596,972222222.0
ElaDav,ElaDav_SRR5762663_Trim,13363583138,729166666.5
ElaDav,ElaDav_SRR5762664_Trim,13440331175,729166666.5
ElaDav,ElaDav_SRR5762662_Trim,13585863549,729166666.5
ElaDav,ElaDav_SRR5762668_Trim,13788223894,729166666.5
GirTip,GirTip_SRR3218457_Trim,26258258214,1458333333.0
GirTip,GirTip_SRR3218458_Trim,27072807137,1458333333.0
HipAmp,HipAmp_SRR5663646_Trim,51207958793,1458333333.0
HipAmp,HipAmp_SRR5663649_Trim,38157820169,1458333333.0
OdoVir,OdoVir_SRR4069809_Trim,31365334317,1458333333.0
OdoVir,OdoVir_SRR4069807_Trim,33282333483,1458333333.0
OkaJoh,OkaJoh_SRR3217884_Trim,23376190152,1458333333.0
OkaJoh,OkaJoh_SRR3217625_Trim,29962308361,1458333333.0
OviAri,OviAri_ERR2099815_Trim,31543528541,1458333333.0
OviAri,OviAri_ERR2099817_Trim,32506518550,1458333333.0
