Taxon,Dataset,Basecount,ToSample
ApoSyl,ApoSyl_SRR2141383_Trim,21173738198,972222222.0
ApoSyl,ApoSyl_SRR2141382_Trim,16972272362,972222222.0
ApoSyl,ApoSyl_SRR2141384_Trim,21822276457,972222222.0
ApoUra,ApoUra_ERR1101669_Trim,77392289175,2916666666.0
EllLut,EllLut_SRR3492263_Trim,24371508847,1458333333.0
EllLut,EllLut_SRR3497434_Trim,31638762866,1458333333.0
MasCou,MasCou_SRR6031623_Trim,86545015865,972222222.0
MasCou,MasCou_SRR6031631_Trim,19855401474,972222222.0
MasCou,MasCou_SRR6031622_Trim,19731158469,972222222.0
MerUng,MerUng_SRR7041744_Trim,26955348226,972222222.0
MerUng,MerUng_SRR7041746_Trim,31942082133,972222222.0
MerUng,MerUng_SRR7041747_Trim,31689407001,972222222.0
MusCar,MusCar_ERR133993_Trim,24122259093,729166666.5
MusCar,MusCar_ERR133992_Trim,25258558842,729166666.5
MusCar,MusCar_ERR133990_Trim,17325257023,729166666.5
MusCar,MusCar_ERR133991_Trim,23117699432,729166666.5
MusMus,MusMus_ERR1124338_Trim,65455180535,1458333333.0
MusMus,MusMus_ERR1124330_Trim,64083316157,1458333333.0
MusSpr,MusSpr_ERR1124347_Trim,68286774403,1458333333.0
MusSpr,MusSpr_ERR1124346_Trim,64808688419,1458333333.0
PerLeu,PerLeu_SRR545958_Trim,14399343391,972222222.0
PerLeu,PerLeu_SRR545959_Trim,13088729138,972222222.0
PerLeu,PerLeu_SRR545960_Trim,15040313906,972222222.0
PsaObe,PsaObe_SRR5067752_Trim,20831577817,972222222.0
PsaObe,PsaObe_SRR5067753_Trim,15342913170,972222222.0
PsaObe,PsaObe_SRR5067751_Trim,30892217286,972222222.0
RatNit,RatNit_SRR3948152_Trim,12682970157,972222222.0
RatNit,RatNit_SRR3948154_Trim,13932129811,972222222.0
RatNit,RatNit_SRR3948149_Trim,12415200039,972222222.0
RatNor,RatNor_SRR1509317_Trim,29049911422,1458333333.0
RatNor,RatNor_SRR1509316_Trim,22806684371,1458333333.0
