Annotation	Positive	Total	Percent	Solo_Chi	Solo_P	Solo_Diff	Solo_Sig	StatGroup	Test	Dataset
intergenic	174285472	1464088148	11.904028609075251	8528610.621856138	0	-3.3849684416281196	BF_Sig	c	Assembly	Primates
intronic	185434227	1209210705	15.335145995089416	2751342.064354819	0	2.0072682380716382	BF_Sig	d	Assembly	Primates
pseudogene	3739955	57630629	6.48952660225173	2726458.0341336424	0	-7.59940488912563	BF_Sig	g	Assembly	Primates
CDS	7991639	35657877	22.41198767946841	2133026.532266542	0	8.520086223203279	BF_Sig	a	Assembly	Primates
lncRNA	143813362	938535958	15.323159520330279	1897125.073621277	0	1.799058583703611	BF_Sig	e	Assembly	Primates
threePrimeUTR	8472688	43969394	19.269512788827612	1038446.3109543446	0	5.359508122459755	BF_Sig	i	Assembly	Primates
ncGenes	671317	4262509	15.749339180280911	11206.88744599185	0	1.7787533240266273	BF_Sig	f	Assembly	Primates
smRNA	113518	1000691	11.343961322725997	5753.692369909904	0	-2.629337365974703	BF_Sig	h	Assembly	Primates
fivePrimeUTR	1509745	10383155	14.540329986405867	2791.8454427767997	0	0.5693003228839116	BF_Sig	b	Assembly	Primates
CDS	94306	7991639	1.1800583084396081	74608.34735271953	0	-1.5915261500385285	BF_Sig	a	SISRS	Primates
intronic	5481429	185434227	2.9559963598305936	46636.478166174646	0	0.3221555836440161	BF_Sig	d	SISRS	Primates
intergenic	4471169	174285472	2.5654284024316154	32303.65893795487	0	-0.2721442217197511	BF_Sig	c	SISRS	Primates
pseudogene	64884	3739955	1.734887184471471	14452.250479055438	0	-1.0197686175492104	BF_Sig	g	SISRS	Primates
threePrimeUTR	177037	8472688	2.089502174516517	13949.725721005325	0	-0.6686735152670878	BF_Sig	i	SISRS	Primates
lncRNA	4119353	143813362	2.864374313146229	10134.753012840434	0	0.160979435365817	BF_Sig	e	SISRS	Primates
fivePrimeUTR	24173	1509745	1.601131316878016	7445.259059541624	0	-1.1495735351101493	BF_Sig	b	SISRS	Primates
smRNA	1171	113518	1.0315544671329657	1250.4624912577822	6.585340286238414e-274	-1.71622139745196	BF_Sig	h	SISRS	Primates
ncGenes	18708	671317	2.7867609490002487	3.88170556711254	0.04881494398289675	0.03940573523684744	Not_Sig	f	SISRS	Primates
CDS	83208	94306	88.23192585837593	370.8370469754803	1.2301089650960137e-82	-1.8795832985189054	BF_Sig	a	Concordance	Primates
intergenic	4024601	4471169	90.01227643151041	54.877548063673444	1.2827807195121778e-13	-0.12592631066298265	BF_Sig	b	Concordance	Primates
lncRNA	3714726	4119353	90.17741378318391	39.45425366211452	3.358353880147371e-10	0.10933303471473144	BF_Sig	c	Concordance	Primates
intronic	4940510	5481429	90.13178862665193	10.478948590304102	0.001207424510313306	0.05243004986484889	BF_Sig	c	Concordance	Primates
threePrimeUTR	159884	177037	90.31106491863284	8.9909463899064	0.0027132044993918953	0.214447660988748	BF_Sig	c	Concordance	Primates
fivePrimeUTR	21866	24173	90.45629421255119	3.420422303262598	0.06439453851052615	0.35764822023219844	Not_Sig	bc	Concordance	Primates
pseudogene	58586	64884	90.2934467665372	2.7337497984418664	0.09824836112615276	0.19507838087385876	Not_Sig	bc	Concordance	Primates
ncGenes	16922	18708	90.45328201838785	2.5924943361031354	0.10737112475265835	0.3544967045884917	Not_Sig	bc	Concordance	Primates
smRNA	1047	1171	89.41076003415884	0.5474939511214593	0.4593434760920808	-0.6885399548592686	Not_Sig	abc	Concordance	Primates
