Annotation	Positive	Total	Percent	Solo_Chi	Solo_P	Solo_Diff	Solo_Sig	StatGroup	Test	Dataset
intergenic	171476950	1523175769	11.257857004420348	16940584.87108827	0	-5.054868237858741	BF_Sig	c	Assembly	Rodents
intronic	158008365	965433506	16.366571495396183	7115477.85436673	0	3.5584683375592228	BF_Sig	d	Assembly	Rodents
lncRNA	93661007	571715902	16.38243866793826	3622921.594667774	0	3.040094974171914	BF_Sig	e	Assembly	Rodents
pseudogene	1495032	27271248	5.48208134809232	1625633.1270370055	0	-8.480093548860545	BF_Sig	g	Assembly	Rodents
threePrimeUTR	6976396	35929035	19.41715384228939	928419.316613616	0	5.590991923196459	BF_Sig	i	Assembly	Rodents
CDS	6814890	36499628	18.671121798830388	705890.6973072266	0	4.83730565033931	BF_Sig	a	Assembly	Rodents
ncGenes	1582200	9052864	17.477341977080403	97718.7958223612	0	3.598207511033402	BF_Sig	f	Assembly	Rodents
fivePrimeUTR	1193444	7416964	16.090734699534742	30121.46577133847	0	2.2064987243217122	BF_Sig	b	Assembly	Rodents
smRNA	86588	714241	12.123078904739437	1863.3785766513906	0	-1.7667051392278477	BF_Sig	h	Assembly	Rodents
CDS	284903	6814890	4.180595724949339	862517.3838457152	0	3.351030463183148	BF_Sig	a	SISRS	Rodents
threePrimeUTR	128916	6976396	1.8478882219415298	75810.27182282037	0	0.9820991275811968	BF_Sig	h	SISRS	Rodents
intergenic	1258262	171476950	0.733779088093181	69882.91935056982	0	-0.24129920933733587	BF_Sig	c	SISRS	Rodents
intronic	1289450	158008365	0.8160643900087189	11996.69462102212	0	-0.10164539699500877	BF_Sig	d	SISRS	Rodents
fivePrimeUTR	19157	1193444	1.6051863346751083	7177.346317815504	0	0.7258342685872882	BF_Sig	b	SISRS	Rodents
lncRNA	886271	93661007	0.9462539731181835	5739.609105816265	0	0.08243508136550562	BF_Sig	e	SISRS	Rodents
pseudogene	7475	1495032	0.49998929788793817	2496.6267716872962	0	-0.38262198273462866	BF_Sig	g	SISRS	Rodents
smRNA	690	86588	0.79687716542708	6.972205625514676	0.008278539445669478	-0.0844544280658473	Not_Sig	cd	SISRS	Rodents
ncGenes	14074	1582200	0.8895209202376438	1.2146057250500026	0.27042188436469583	0.00823542478574097	Not_Sig	f	SISRS	Rodents
CDS	198573	284903	69.69845877368789	13616.355427343025	0	-9.350925363848027	BF_Sig	a	Concordance	Rodents
intergenic	1000114	1258262	79.48376411272056	1374.5428480446762	7.150863936973178e-301	1.65473292382049	BF_Sig	b	Concordance	Rodents
intronic	1021822	1289450	79.24479429214006	881.8174012843875	8.801240859271022e-194	1.3170874528617982	BF_Sig	c	Concordance	Rodents
fivePrimeUTR	15169	19157	79.1825442397035	7.552433619191773	0.00599290850714809	0.8222116230723109	Not_Sig	bcd	Concordance	Rodents
lncRNA	693810	886271	78.28418170063107	4.348513807853161	0.03704125703687569	-0.10387102259530323	Not_Sig	de	Concordance	Rodents
threePrimeUTR	100727	128916	78.13382357504112	4.166393114868325	0.0412334908485754	-0.23846339705300146	Not_Sig	e	Concordance	Rodents
pseudogene	5900	7475	78.92976588628763	1.3788189673105977	0.24030242261513032	0.5664720603242634	Not_Sig	bcde	Concordance	Rodents
ncGenes	11082	14074	78.74094074179338	1.1591362442201525	0.2816447478150232	0.3779257776270639	Not_Sig	bcde	Concordance	Rodents
smRNA	549	690	79.56521739130434	0.518253213397692	0.4715877640283185	1.2010478949319614	Not_Sig	bcde	Concordance	Rodents
